event_date,event_time,Sport,Venue,Events
30th_July_2021,2:00,Hockey,Oi Hockey Stadium,"Men's Pool A: Australia vs Spain, Men's Pool B: Canada vs South Africa"
30th_July_2021,2:00,Fencing,Makuhari Messe Hall,"Men's Epée Team Table of 16, Men's Epée Team Quarterfinals, Men's Epée Team Classification 5-8, Men's Epée Team Semifinals, Men's Epée Team Placement 5-6, Men's Epée Team Placement 7-8"
30th_July_2021,2:00,Cycling BMX Racing,Ariake Urban Sports Park,"Men's Semifinals, Women's Semifinals, Men's Final, Women's Final"
30th_July_2021,2:30,Swimming,Tokyo Aquatics Centre,"Men's 100m Butterfly Semifinals, Women's 200m Breaststroke Final, Men's 200m Backstroke Final, Women's 100m Freestyle Final, Women's 200m Breaststroke Victory Ceremony, Men's 200m Individual Medley Final, Men's 200m Backstroke Victory Ceremony, Women's 200m Backstroke Semifinals"
30th_July_2021,3:00,Boxing,Kokugikan Arena,"Women's Light (57-60kg) - Preliminaries - Round of 16, Women's Welter (64-69kg) Quarterfinals, Men's Welter (63-69kg) Quarterfinals, Men's Light Heavy (75-81kg) Quarterfinals, Men's Heavy (81-91kg) Quarterfinals"
30th_July_2021,2:00,Judo,Nippon Budokan,"Women +78 kg Elimination Rounds, Women +78 kg Quarterfinals, Men +100 kg Elimination Rounds, Men +100 kg Quarterfinals"
30th_July_2021,4:00,Baseball,Yokohama Baseball Stadium,Baseball Opening Round
30th_July_2021,4:00,Tennis,Ariake Tennis Park,"Men's Singles Semifinals, Men's Doubles Gold Medal Match, Men's Doubles Bronze Medal Match, Mixed Doubles Semifinals"
30th_July_2021,4:00,Sailing,Enoshima Yacht Harbour,"Laser Men, Laser Radial Women, 470 Men, 470 Women, 49er Men, 49er FX Women"
30th_July_2021,5:00,Trampoline Gymnastics,Ariake Gymnastics Centre,"Women's Qualification, Women's Final"
30th_July_2021,5:40,Basketball,Saitama Super Arena,Women's Preliminary Round Group B: United States vs Japan
30th_July_2021,6:00,Canoe Slalom,Kasai Canoe Slalom Centre,"Kayak (K1) Men Semi-final, Kayak (K1) Men Final"
30th_July_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group A: South Africa vs Netherlands, Women's Preliminary Round - Group B: United States vs ROC"
30th_July_2021,6:15,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group A: France vs Spain, Men's Preliminary Round Group B: Sweden vs Egypt"
30th_July_2021,6:20,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Japan vs Poland, Men's Preliminary Round - Pool B: Argentina vs Tunisia"
30th_July_2021,6:45,Archery,Yumenoshima Park Archery Field,"Women's Individual Quarterfinals, Women's Individual Semifinals, Women's Individual Bronze Medal Match, Women's Individual Gold Medal Match"
30th_July_2021,7:00,Diving,Tokyo Aquatics Centre,Women's 3m Springboard Preliminary
30th_July_2021,7:00,Beach volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
30th_July_2021,7:30,Badminton,Musashino Forest Sport Plaza,"Mixed Doubles Gold Medal Match, Mixed Doubles Victory Ceremony, Women's Singles Quarterfinals, Men's Doubles Semifinals"
30th_July_2021,8:30,Rugby.,Tokyo Stadium,"Women's Placing 9-12 (2 matches), Women's Quarter-finals (4 matches)"
30th_July_2021,9:00,Boxing,Kokugikan Arena,"Women's Light (57-60kg) - Preliminaries - Round of 16, Women's Welter (64-69kg) Quarterfinals, Men's Welter (63-69kg) Quarterfinals, Men's Light Heavy (75-81kg) Quarterfinals, Men's Heavy (81-91kg) Quarterfinals"
30th_July_2021,9:00,Football,Miyagi Stadium,Women's Quarterfinal (4 matches)
30th_July_2021,9:00,Judo,Nippon Budokan,"Women +78 kg Repechage, Women +78 kg Semifinals, Men +100 kg Repechage, Men +100 kg Semifinals, Women +78 kg Contests for Bronze Medal, Women +78 kg Final, Men +100 kg Contests for Bronze Medal, Men +100 kg Final"
30th_July_2021,9:20,Basketball,Saitama Super Arena,Women's Preliminary Round Group B: France vs Nigeria
30th_July_2021,9:30,Equestrian,Equestrian Park,Eventing Dressage Team and Individual Day 1 - Session 2
30th_July_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group B: Japan vs Hungary, Women's Preliminary Round - Group A: Spain vs Australia"
30th_July_2021,10:30,Fencing,Makuhari Messe Hall,"Men's Epée Team Bronze Medal Match, Men's Epée Team Gold Medal Match"
30th_July_2021,10:30,Hockey,Oi Hockey Stadium,"Men's Pool A: Japan vs India, Men's Pool B: Germany vs Netherlands"
30th_July_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Opening Round
30th_July_2021,11:00,Swimming,Tokyo Aquatics Centre,"Men's 50m Freestyle - Heats, Women's 50m Freestyle - Heats, Men's 1500m Freestyle - Heats, Women's 4 x 100m Medley Relay - Heats, Men's 4 x 100m Medley Relay - Heats"
30th_July_2021,11:00,Athletics,Olympic Stadium,"Women's 5000m Round 1, Women's Triple Jump Qualifying Round, Women's Shot Put Qualifying Round, Mixed 4 x 400m Relay Round 1, Men's 10000m Final"
30th_July_2021,11:00,Hockey,Oi Hockey Stadium,"Men's Pool A: Argentina vs New Zealand, Men's Pool B: Belgium vs Great Britain"
30th_July_2021,11:30,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Portugal vs Denmark, Men's Preliminary Round Group A: Germany vs Norway"
30th_July_2021,11:40,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Italy vs Islamic Rep. of Iran, Men's Preliminary Round - Pool B: ROC vs France"
30th_July_2021,12:00,Beach volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
30th_July_2021,12:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Bronze Medal Match, Men's Singles Gold Medal Match"
30th_July_2021,13:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group C: China vs Australia
31st_July_2021,xx,Surfing,Tsurigasaki Surfing Beach,Competition TBD
31st_July_2021,23:30,Triathlon,Odaiba Marine Park,Mixed Relay
31st_July_2021,23:30,Golf,Kasumigaseki Country Club,Men's Individual Stroke Play Round 3
31st_July_2021,0:30,Equestrian,Equestrian Park,Eventing Dressage Team and Individual Day 2 - Session 3
31st_July_2021,1:00,Athletics,Olympic Stadium,"Women's 400m Hurdles Round 1, Women's Discus Throw Qualifying Round, Men's Pole Vault Qualifying Round, Men's 800m Round, Women's 100m Hurdles Qualifying Round, Men's 100m Preliminary Round"
31st_July_2021,1:00,Shooting,Asaka Shooting Range,"Trap Mixed Team Qualification, Trap Mixed Team Finals"
31st_July_2021,1:00,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Dominican Rep. vs Kenya, Women's Preliminary Round - Pool B: United States vs ROC"
31st_July_2021,1:00,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Angola vs Japan, Women's Preliminary Round Group A: Montenegro vs Republic of Korea"
31st_July_2021,1:00,Beach Volley,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
31st_July_2021,1:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Quarterfinals, Women's Doubles Semifinals"
31st_July_2021,1:00,Rugby,Tokyo Stadium,"Women's Placing 11-12, Women's Placing 9-10, Women's Placing 5-8 (2 matches), Women's Semi-finals (2 matches)"
31st_July_2021,1:30,Archery,Yumenoshima Park Archery Field,Men's Individual 1/8 Eliminations
31st_July_2021,1:30,Hockey,Oi Hockey Stadium,"Women's Pool B: China vs New Zealand, Women's Pool B: Argentina vs Australia"
31st_July_2021,2:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group A: Islamic Rep. of Iran vs France
31st_July_2021,2:00,Hockey,Oi Hockey Stadium,"Women's Pool B: Japan vs Spain, Women's Pool A: India vs South Africa"
31st_July_2021,2:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group B: Montenegro vs Kazakhstan, Men's Preliminary Round - Group B: Australia vs Spain"
31st_July_2021,2:00,Fencing,Makuhari Messe Hall,"Women's Sabre Team Table of 16, Women's Sabre Team Quarterfinals, Women's Sabre Team Classification 5-8, Women's Sabre Team Semifinals, Women's Sabre Team Placement 5-6, Women's Sabre Team Placement 7-8"
31st_July_2021,2:10,Cycling BMX Freestyle,Ariake Urban Sports Park,"Women's Park Seeding, Men's Park Seeding"
31st_July_2021,2:30,Swimming,Tokyo Aquatics Centre,"Men's 100m Butterfly Final, Women's 200m Backstroke Final, Women's 800m Freestyle Final, Men's 100m Butterfly Victory Ceremony, Men's 50m Freestyle Semifinals, Women's 200m Backstroke Victory Ceremony, Women's 50m Freestyle Semifinals, Mixed 4 x 100m Medley Relay Final"
31st_July_2021,3:00,Boxing,Kokugikan Arena,"Men's Fly (48-52kg) - Preliminaries - Round of 16, Men's Light (57-63kg) - Preliminaries - Round of 16, Women's Middle (69-75kg) QuarterFinals, Women's Feather (54-57kg) SemiFinal"
31st_July_2021,3:00,Judo,Nippon Budokan,"Mixed Team Elimination rounds, Mixed Team Quarterfinals, Mixed Team Repechage, Mixed Team Semifinals"
31st_July_2021,3:50,Weightlifting,Tokyo International Forum,Men's 81 kg Group B and Men's 96 kg Group B
31st_July_2021,4:00,Baseball,Yokohama Baseball Stadium,Baseball Opening Round
31st_July_2021,4:00,Tennis,Ariake Tennis Park,"Men's Singles Bronze Medal Match, Women's Singles Bronze Medal Match, Women's Singles Gold Medal Match, Women's Doubles Bronze Medal Match, Mixed Doubles Bronze Medal Match"
31st_July_2021,4:00,Shooting,Asaka Shooting Range,"50m Rifle 3 Positions Women's Qualification, 50m Rifle 3 Positions Women's Finals"
31st_July_2021,4:00,Sailing,Enoshima Yacht Harbour,"Finn Men, 49er Men, 49er FX Women, Foiling Nacra 17 Mixed, RS:X Women - Medal Race, RS:X Men - Medal Race"
31st_July_2021,5:00,Trampoline Gymnastics,Ariake Gymnastics Centre,"Men's Qualification, Men's Final"
31st_July_2021,5:40,Basketball,Saitama Super Arena,Men's Preliminary Round Group B: Winner of Olympic Qualifying Tournament in Belgrade(Serbia) vs Nigeria
31st_July_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: United States vs Hungary, Men's Preliminary Round - Group B: Croatia vs Serbia"
31st_July_2021,6:15,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group B: ROC vs France, Women's Preliminary Round Group B: Brazil vs Sweden"
31st_July_2021,6:20,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool B: Argentina vs Turkey, Women's Preliminary Round - Pool A: Serbia vs Brazil"
31st_July_2021,6:45,Archery,Yumenoshima Park Archery Field,"Men's Individual Quarterfinals, Men's Individual Semifinals, Men's Individual Bronze Medal Match, Men's Individual Gold Medal Match"
31st_July_2021,7:00,Diving,Tokyo Aquatics Centre,Women's 3m Springboard Semifinal
31st_July_2021,7:00,Beach Volley,Shiokaze Park,"Men's or Women's Preliminaries (2 matches), Men's or Women's Lucky Loser (1 match)"
31st_July_2021,7:50,Weightlifting,Tokyo International Forum,Men's 81 kg Group A
31st_July_2021,8:30,Rugby,Tokyo Stadium,"Women's Placing 7-8, Women's Placing 5-6, Women's Bronze Medal Match, Women's Gold Medal Match"
31st_July_2021,9:00,Boxing,Kokugikan Arena,"Men's Fly (48-52kg) - Preliminaries - Round of 16, Men's Light (57-63kg) - Preliminaries - Round of 16, Women's Middle (69-75kg) QuarterFinals, Women's Feather (54-57kg) SemiFinal"
31st_July_2021,9:00,Judo,Nippon Budokan,"Mixed Team Match for Bronze Medal, Mixed Team Final"
31st_July_2021,9:00,Football,Miyagi Stadium,Men's Quarterfinal (4 matches)
31st_July_2021,9:20,Basketball,Saitama Super Arena,Men's Preliminary Round Group B: Australia vs Winner of Olympic Qualifying Tournament in Split(Croatia)
31st_July_2021,10:00,Badminton,Musashino Forest Sport Plaza,"Women's Singles Semifinals, Men's Doubles Bronze Medal Match, Men's Doubles Gold Medal Match"
31st_July_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: Italy vs Japan, Men's Preliminary Round - Group A: South Africa vs Greece"
31st_July_2021,10:30,Fencing,Makuhari Messe Hall,"Women's Sabre Team Bronze Medal Match, Women's Sabre Team Gold Medal Match"
31st_July_2021,10:30,Hockey,Oi Hockey Stadium,"Women's Pool A: Germany vs Netherlands, Women's Pool A: Ireland vs Great Britain"
31st_July_2021,11:00,Athletics,Olympic Stadium,"Men's 10000m Victory Ceremony, Men's Long Jump Qualifying Round, Women's 100m Semifinals, Men's 100m Round 1, Men's Discus Throw Final, Women's 800m Semifinals, Mixed 4 x 400m Relay Final, Women's 100m Final"
31st_July_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Opening Round
31st_July_2021,11:30,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group B: Hungary vs Spain, Women's Preliminary Round Group A: Norway vs Netherlands"
31st_July_2021,11:40,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Japan vs Republic of Korea, Women's Preliminary Round - Pool B: China vs Italy"
31st_July_2021,11:50,Weightlifting,Tokyo International Forum,Men's 96 kg Group A
31st_July_2021,12:00,Beach Volley,Shiokaze Park,Men's or Women's Lucky Loser (3 matches)
31st_July_2021,13:00,Basketball,Saitama Super Arena,Men's Preliminary Round Group A: United States vs Winner of Olympic Qualifying Tournament in Victoria(Canada)
1st_August_2021,xx,Surfing,Tsurigasaki Surfing Beach,Competition TBD
1st_August_2021,23:30,Golf,Kasumigaseki Country Club,Men's Individual Stroke Play Round 4
1st_August_2021,23:45,Equestrian,Sea Forest Cross-Country Course,Eventing Cross Country Team and Individual
1st_August_2021,0:30,Shooting,Asaka Shooting Range,25m Rapid Fire Pistol Men's Qualification - Stage 1
1st_August_2021,1:00,Beach Volleyball,Shiokaze Park,Men's or Women's Round of 16 (8 matches)
1st_August_2021,1:00,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Poland vs Canada, Men's Preliminary Round - Pool B: Brazil vs France"
1st_August_2021,1:00,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Portugal vs Japan, Men's Preliminary Round Group B: Egypt vs Bahrain"
1st_August_2021,1:00,Fencing,Makuhari Messe Hall,"Men's Foil Team Table of 16, Men's Foil Team Quarterfinals, Men's Foil Team Classification 5-8, Men's Foil Team Semifinals, Men's Foil Team Placement 5-6, Men's Foil Team Placement 7-8"
1st_August_2021,1:10,Athletics,Olympic Stadium,"Women's Hammer Throw Qualifying Round, Women's 3000m Steeplechase Round 1, Women's Long Jump Qualifying Round, Men's Discus Throw Victory Ceremony, Women's Shot Put Final, Men's 400m Round 1"
1st_August_2021,1:30,Hockey,Oi Hockey Stadium,Men's Quarterfinals (2 matches)
1st_August_2021,2:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group A: Canada vs Spain
1st_August_2021,2:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Team Round of 16, Women's Team Round of 16"
1st_August_2021,2:10,Cycling BMX Freestyle,Ariake Urban Sports Park,"Women's Park Final, Men's Park Final"
1st_August_2021,2:30,Swimming,Tokyo Aquatics Centre,"Men's 50m Freestyle Final, Women's 50m Freestyle Final, Men's 1500m Freestyle Final, Men's 50m Freestyle Victory Ceremony, Women's 4 x 100m Medley Relay Final, Women's 50m Freestyle Victory Ceremony, Men's 4 x 100m Medley Relay Final"
1st_August_2021,3:00,Boxing,Kokugikan Arena,"Women's Fly (48-51kg) Quarterfinals, Men's Feather (52-57kg) Quarterfinals, Men's Welter (63-69kg) Semifinal, Men's Middle (69-75kg) Quarterfinals, Men's Light Heavy (75-81kg) Semifinal, Men's Super Heavy (+91kg) Quarterfinals"
1st_August_2021,3:00,Wrestling,Makuhari Messe Hall,"Men's Greco-Roman 60 kg 1/8 Finals, Women's Freestyle 76 kg 1/8 Finals, Men's Greco-Roman 130 kg 1/8 Finals, Men's Greco-Roman 60 kg 1/4 Finals, Women's Freestyle 76 kg 1/4 Finals, Men's Greco-Roman 130 kg 1/4 Finals"
1st_August_2021,4:00,Baseball,Yokohama Baseball Stadium,Baseball Knockout stage (#1)
1st_August_2021,4:00,Tennis,Ariake Tennis Park,"Men's Singles Gold Medal Match, Men's Singles Victory Ceremony, Women's Doubles Gold Medal Match, Women's Doubles Victory Ceremony, Mixed Doubles Gold Medal Match"
1st_August_2021,4:00,Sailing,Enoshima Yacht Harbour,"Finn Men, 470 Men, 470 Women, Foiling Nacra 17 Mixed, Laser Men - Medal Race, Laser Radial Women - Medal Race"
1st_August_2021,5:00,Badminton,Musashino Forest Sport Plaza,Men's Singles Semifinals
1st_August_2021,5:40,Basketball,Saitama Super Arena,Men's Preliminary Round Group C: Argentina vs Japan
1st_August_2021,5:50,Weightlifting,Tokyo International Forum,Women's 76 kg Group B
1st_August_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group B: Hungary vs China, Women's Preliminary Round - Group A: Netherlands vs Canada"
1st_August_2021,6:15,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group A: Spain vs Argentina, Men's Preliminary Round Group A: Norway vs France"
1st_August_2021,6:20,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool B: ROC vs Tunisia, Men's Preliminary Round - Pool A: Italy vs Venezuela"
1st_August_2021,7:00,Diving,Tokyo Aquatics Centre,Women's 3m Springboard Final
1st_August_2021,9:00,Artistic Gymnastics,Ariake Gymnastics Centre,"Men's Floor Exercise Final, Men's Floor Exercise Victory Ceremony, Women's Vault Final, Women's Vault Victory Ceremony, Men's Pommel Horse Final, Men's Pommel Horse Victory Ceremony, Women's Uneven Bars Final"
1st_August_2021,9:00,Boxing,Kokugikan Arena,"Women's Fly (48-51kg) Quarterfinals, Men's Feather (52-57kg) Quarterfinals, Men's Welter (63-69kg) Semifinal, Men's Middle (69-75kg) Quarterfinals, Men's Light Heavy (75-81kg) Semifinal, Men´s Super Heavy (+91kg) Quarterfinals"
1st_August_2021,9:20,Basketball,Saitama Super Arena,Men's Preliminary Round Group C: Spain vs Winner of Olympic Qualifying Tournament in Kaunas (Lithuania)
1st_August_2021,10:15,Wrestling,Makuhari Messe Hall,"Men's Greco-Roman 60 kg Semifinals, Men's Greco-Roman 130 kg Semifinals, Women's Freestyle 76 kg Semifinals"
1st_August_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group B: ROC vs Japan, Women's Preliminary Round - Group A: Australia vs South Africa"
1st_August_2021,10:30,Fencing,Makuhari Messe Hall,"Men's Foil Team Bronze Medal Match, Men's Foil Team Gold Medal Match"
1st_August_2021,10:30,Hockey,Oi Hockey Stadium,Men's Quarterfinals (2 matches)
1st_August_2021,11:00,Athletics,Olympic Stadium,"Women's 100m Victory Ceremony, Men's High Jump Final, Men's 100m Semifinals, Women's 100m Hurdles Semifinals, Women's Shot Put Victory Ceremony, Women's Triple Jump Final, Men's 800m Semifinals, Men's 400m Hurdles Semifinals, Men's High Jump Victory Ceremony, Men's 100m Final"
1st_August_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Knockout stage (#2)
1st_August_2021,11:30,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group A: Germany vs Brazil, Men's Preliminary Round Group B: Denmark vs Sweden"
1st_August_2021,11:40,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool A: Japan vs Islamic Rep. of Iran, Men's Preliminary Round - Pool B: United States vs Argentina"
1st_August_2021,11:50,Weightlifting,Tokyo International Forum,Women's 76 kg Group A
1st_August_2021,12:30,Badminton,Musashino Forest Sport Plaza,"Women's Singles Bronze Medal Match, Women's Singles Gold Medal Match"
1st_August_2021,13:00,Basketball,Saitama Super Arena,"Women's Preliminary Round Group A, Republic of Korea vs Serbia"
2nd_August_2021,0:30,Shooting,Asaka Shooting Range,"25m Rapid Fire Pistol Men's Qualification - Stage 250m Rifle 3 Position, Men's Qualification, 25m Rapid Fire Pistol Men's Finals, 25m Rapid Fire Pistol Men's Victory Ceremony, 50m Rifle 3 Positions Men's Finals"
2nd_August_2021,1:00,Athletics,Olympic Stadium,"Men's Hammer Throw Qualifying Round, Women's 1500m Round 1, Women's Triple Jump Victory Ceremony, Men's Long Jump Final, Women's 200m Round 1, Women's 100m Hurdles Final"
2nd_August_2021,1:00,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Serbia vs Republic of Korea, Women's Preliminary Round - Pool B: United States vs Italy"
2nd_August_2021,1:00,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Republic of Korea vs Angola, Women's Preliminary Round Group B: France vs Brazil"
2nd_August_2021,1:00,Beach Volley,Shiokaze Park,Men's or Women's Round of 16 (8 matches)
2nd_August_2021,1:30,Canoe Sprint,Sea Forest Waterway,"Women's Kayak Single 200m Heats, Men's Canoe Double 1000m Heats, Men's Kayak Single 1000m Heats, Women's Kayak Double 500m Heats, Women's Kayak Single 200m Quarterfinals, Men's Canoe Double 1000m Quarterfinals, Men's Kayak Single 1000m Quarterfinals, Women's Kayak Double 500m Quarterfinals"
2nd_August_2021,1:30,Hockey,Oi Hockey Stadium,Women's Quarterfinals (2 matches)
2nd_August_2021,2:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Team Round of 16, Women's Team Round of 16"
2nd_August_2021,2:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: Hungary vs Italy, Men's Preliminary Round - Group A: Greece vs United States"
2nd_August_2021,2:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group B: Nigeria vs Japan
2nd_August_2021,3:00,Wrestling,Makuhari Messe Hall,"Men's Greco-Roman 60 kg Repechage, Women's Freestyle 76 kg Repechage, Men's Greco-Roman 130 kg Repechage, Men's Greco-Roman 77 kg 1/8 Finals, Women's Freestyle 68 kg 1/8 FinalsMen's Greco-Roman 97 kg 1/8 Finals, Men's Greco-Roman 77 kg 1/4 Finals, Women's Freestyle 68 kg 1/4 Finals, Men's Greco-Roman 97 kg 1/4 Finals"
2nd_August_2021,3:50,Weightlifting,Tokyo International Forum,Women's 87 kg Group B and Women's +87 kg Group B
2nd_August_2021,4:00,Baseball,Yokohama Baseball Stadium,Baseball Knockout stage (#3)
2nd_August_2021,4:00,Sailing,Enoshima Yacht Harbour,"470 Men, 470 Women, 49er FX Women - Medal Race, 49er Men - Medal Race"
2nd_August_2021,5:00,Badminton,Musashino Forest Sport Plaza,"Women's Doubles Bronze Medal Match, Women's Doubles Gold Medal Match"
2nd_August_2021,5:40,Basketball,Saitama Super Arena,Women's Preliminary Round Group B: France vs United States
2nd_August_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group B: Serbia vs Montenegro, Men's Preliminary Round - Group B: Spain vs Croatia"
2nd_August_2021,6:15,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group B: Spain vs ROC, Women's Preliminary Round Group B: Hungary vs Sweden"
2nd_August_2021,6:20,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool B: ROC vs Turkey, Women's Preliminary Round - Pool B: China vs Argentina"
2nd_August_2021,6:30,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Team Quarterfinals, Women's Team Quarterfinals"
2nd_August_2021,7:00,Diving,Tokyo Aquatics Centre,Men's 3m Springboard Preliminary
2nd_August_2021,7:30,Cycling Track,Izu Velodrome,"Women's Team Sprint Qualifying, Women's Team Pursuit Qualifying, Women's Team Sprint First round, Men's Team Pursuit Qualifying, Women's Team Sprint Finals"
2nd_August_2021,7:50,Weightlifting,Tokyo International Forum,Women's 87 kg Group A
2nd_August_2021,9:00,Artistic Gymnastics,Ariake Gymnastics Centre,"Men's Rings Final, Men's Rings Victory Ceremony, Women's Floor Exercise Final, Women's Floor Exercise Victory Ceremony, Men's Vault Final"
2nd_August_2021,9:00,Football,Ibaraki Kashima Stadium,Women's Semifinal (2 matches)
2nd_August_2021,9:00,Equestrian,Equestrian Park,"Eventing Jumping Team Final and Individual Qualifier, Eventing Jumping Individual Final"
2nd_August_2021,9:20,Basketball,Saitama Super Arena,Women's Preliminary Round Group C: China vs Belgium
2nd_August_2021,10:15,Wrestling,Makuhari Messe Hall,"Men's Greco-Roman 77 kg Semifinals, Men's Greco-Roman 97 kg Semifinals, Women's Freestyle 68 kg Semifinals, Men's Greco-Roman 60 kg Bronze Medal Matches, Men's Greco-Roman 60 kg Final, Men's Greco-Roman 130 kg Bronze Medal Matches, Men's Greco-Roman 130 kg Final, Men's Greco-Roman 60 kg Victory Ceremony, Women's Freestyle 76 kg Bronze Medal Matches, Women's Freestyle 76 kg Final"
2nd_August_2021,10:20,Water Polo,Tatsumi Water Polo Centre,"Men's Preliminary Round - Group A: Japan vs South Africa, Men's Preliminary Round - Group B: Australia vs Kazakhstan"
2nd_August_2021,10:30,Handball,Yoyogi National Stadium,Women's Quarterfinals (2 matches)
2nd_August_2021,11:00,Athletics,Olympic Stadium,"Men's 100m Victory Ceremony, Men's Long Jump Victory Ceremony, Women's Pole Vault Qualifying Round, Women's 200m Semifinals, Women's 100m Hurdles Victory Ceremony, Women's Discus Throw Final, Men's 400m Semifinals, Women's 400m Hurdles Semifinals, Men's 3000m Steeplechase Final, Women's 5000m Final"
2nd_August_2021,11:00,Baseball,Yokohama Baseball Stadium,Baseball Knockout stage(#3)
2nd_August_2021,11:30,Artistic Swimming,Tokyo Aquatics Centre,Duet Free Routine Preliminary
2nd_August_2021,11:30,Handball,Yoyogi National Stadium,"Women's Preliminary Round Group A: Netherlands vs Montenegro, Women's Preliminary Round Group A: Norway vs Japan"
2nd_August_2021,11:30,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Team Quarterfinals, Women's Team Quarterfinals"
2nd_August_2021,11:40,Volleyball,Ariake Arena,"Women's Preliminary Round - Pool A: Japan vs Dominican Rep., Women's Preliminary Round - Pool A: Brazil vs Kenya"
2nd_August_2021,11:50,Weightlifting,Tokyo International Forum,Women's +87 kg Group A
2nd_August_2021,12:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Bronze Medal Match, Men's Singles Gold Medal Match"
2nd_August_2021,13:00,Basketball,Saitama Super Arena,Women's Preliminary Round Group C: Australia vs Puerto Rico
3rd_August_2021,1:00,Athletics,Olympic Stadium,"Men's Triple Jump Qualifying Round, Men's 1500m Round 1, Women's Javelin Throw Qualifying Round, Women's 400m Round 1, Women's Discus Throw Victory Ceremony, Men's 3000m Steeplechase Victory Ceremony, Women's Long Jump Final, Men's 200m Round 1, Men's 400m Hurdles Final"
3rd_August_2021,1:00,Volleyball,Ariake Arena,Men's Quarterfinal
3rd_August_2021,1:00,Beach Volleyball,Shiokaze Park,Women's Quarterfinals (2 matches)
3rd_August_2021,1:30,Canoe Sprint,Sea Forest Waterway,"Women's Kayak Single 200m Semifinals, Men's Canoe Double 1000m Semifinals, Men's Kayak Single 1000m Semifinals, Women's Kayak Double 500m Semifinals, Women's Kayak Single 200m Finals, Men's Canoe Double 1000m Finals, Men's Kayak Single 1000m Finals, Women's Kayak Double 500m Finals"
3rd_August_2021,1:30,Handball,Yoyogi National Stadium,Men's Quarterfinal
3rd_August_2021,2:00,Basketball,Saitama Super Arena,Men's Quarterfinal
3rd_August_2021,2:00,Tennis,Ariake Tennis Park,"Men's Team Quarterfinals, Women's Team Quarterfinals"
3rd_August_2021,2:00,Diving,Tokyo Aquatics Centre,Men's 3m Springboard Semifinal
3rd_August_2021,2:30,Hockey,Oi Hockey Stadium,Men's Semifinal
3rd_August_2021,3:00,Boxing,Kokugikan Arena,"Men's Fly (48-52kg) Quarterfinals, Men's Feather (52-57kg) Semifinal, Men's Light (57-63kg) Quarterfinals, Men's Heavy (81-91kg) Semifinal, Women's Light (57-60kg) Quarterfinals, Women's Feather (54-57kg) Final"
